id,title,state,created_at,closed_at,days_to_close,labels,is_bug,risk_score,comment_count,assignees,body_length,risk_score_v2,is_bug_v2
30501,[sw] Add pre-signed ROM image for CW340,open,2026-06-24 09:41:05+00:00,,,,False,0,0,0,265,0,False
30500,[ci] Add a CI check for lock files on the `earlgrey_1.0.0` branch,open,2026-06-24 07:40:42+00:00,,,,False,0,0,0,318,0,False
30498,[ci] Fix failing CW340 ROM Tests,closed,2026-06-24 06:46:48+00:00,2026-06-24 11:39:25+00:00,0.0,,False,0,1,2,940,1,False
30495,"[rom] ROM, ROM_EXT to only sense strong pull up/down values",open,2026-06-23 17:05:55+00:00,,,,False,0,1,0,199,0,False
30491,[gpio] Re-arrange address map to group CSRs according to pin not functionality,open,2026-06-22 20:57:16+00:00,,,IP:gpio,False,0,1,2,802,0,False
30490,[reggen] Consider adding an ALERT_TEST_REGWEN register,open,2026-06-22 20:44:49+00:00,,,Tool:reggen,False,0,1,2,932,0,False
30485,[rom_ctrl] Options to speed up ROM verfication,open,2026-06-22 11:36:27+00:00,,,IP:rom_ctrl,False,0,2,0,1441,0,False
30454,[orchestrator] Use rlocations properly in the orchestrator script,open,2026-06-18 15:47:43+00:00,,,,False,0,0,0,450,0,False
30442,[ci] Remove Git downgrade for `cherrypick.yml` when Git 2.55.0 is available on `ubuntu-24.04` Github runners,open,2026-06-17 13:40:37+00:00,,,Type:Cleanup|Component:CI,False,0,0,1,536,0,False
30389,"[dv, chip_sim, verilator] Add build option to skip ROM verification",open,2026-06-12 16:17:36+00:00,,,Component:DV,True,0,4,1,1062,1,False
30361,[rom/rom_ext] Current strength and slew rate should be configurable from ROM/ROM_EXT stage,open,2026-06-10 15:14:42+00:00,,,SW:ROM|SW:ROM_EXT,False,0,0,0,294,0,False
30340,[ci] Run AscentLint only when necessary,open,2026-06-09 13:52:59+00:00,,,Component:CI,False,0,1,2,464,0,False
30336,[ci] Migrate the `Airgapped build` CI job to a different runner and re-enable it,open,2026-06-09 13:21:25+00:00,,,Component:CI,False,0,0,1,386,0,False
30326,[rom] New option for ROM Execution Disable in RMA,open,2026-06-09 06:23:20+00:00,,,SW:ROM,False,0,0,1,712,0,False
30323,"[conn,earlgrey] Failing connectivity checks because of black-boxed prim_clock_buf",open,2026-06-08 17:55:15+00:00,,,Component:FPV|TOP:earlgrey,False,0,1,0,1032,1,False
30309,"[earlgrey,spi_device] Change SRAM to 1r1w",closed,2026-06-05 15:24:25+00:00,2026-06-12 12:47:17+00:00,6.0,,False,0,0,0,241,1,False
30304,[rfc] Publishing OpenTitan Security Advisories on GitHub Infrastructure,open,2026-06-05 00:31:44+00:00,,,RFC:Proposal,False,0,0,0,6543,0,False
30294,"[rtl,fpga] Steps towards functional `bdkr_loader` IP",open,2026-06-04 07:03:17+00:00,,,Component:FPGA,False,0,0,4,1268,0,False
30282,[topgen] Handle default values for array elements correctly,open,2026-06-03 14:40:28+00:00,,,Component:Tooling,False,0,0,1,1825,0,False
30281,P-256 ECDH shared key binary triggers Alert 48 in Verilator chip sim while ISS passes,open,2026-06-03 14:32:04+00:00,,,,False,0,2,0,5598,0,False
30274,Linking >1 non-trivial OTBN binary in Verilator chip sim triggers consistent Alert 48,closed,2026-06-03 02:31:40+00:00,2026-06-03 08:18:59+00:00,0.0,,False,0,0,0,6567,0,False
30189,Chip level I2C host vseq timing parameter calculation,open,2026-05-22 16:57:42+00:00,,,Type:Question,False,0,0,0,6853,0,False
30166,[i2c] Port i2c_host_override_test to CW340,closed,2026-05-21 11:15:23+00:00,2026-05-21 18:38:54+00:00,0.0,,False,0,0,1,36,0,False
30155,"[prim_fifo_async_simple] DFT Enhancement, removal of tied off flops",closed,2026-05-19 15:17:01+00:00,2026-06-01 10:26:56+00:00,12.0,,False,0,0,1,673,0,False
30152,[ci] Fix Node.js 20 Github Action deprecation warnings,closed,2026-05-19 13:39:28+00:00,2026-06-04 17:03:39+00:00,16.0,Type:Task|Component:CI,False,0,0,2,1267,0,False
30147,`smoke_test_vectorized` fails after URND PRNG replacement (Xoshiro256++ → Bivium),closed,2026-05-19 04:00:44+00:00,2026-05-19 10:15:50+00:00,0.0,IP:otbn,False,0,4,1,1544,1,False
30144,"[keymgr,rtl] The kmac_key_o signal changes key when the valid bit is true",open,2026-05-18 15:37:04+00:00,,,Component:RTL|IP:keymgr,False,0,4,0,1175,2,False
30128,[aes] V2 & V2S Signoff for v.1.1.0 with optional hardware support for GCM,closed,2026-05-15 16:27:52+00:00,2026-05-22 11:30:56+00:00,6.0,IP:aes,False,0,6,3,705,0,False
30127,[aes] D2 & D2S Signoff for v.1.1.0 with optional hardware support for GCM,closed,2026-05-15 14:20:58+00:00,2026-05-22 11:30:31+00:00,6.0,IP:aes,False,0,9,3,846,0,False
30125,[checklist] Handling of bugs discovered post D3/V3,open,2026-05-15 13:08:00+00:00,,,,False,0,0,2,839,0,False
30096,earlgrey: Intermittent spihost corruption when clkdiv=0,open,2026-05-11 20:54:28+00:00,,,,False,0,1,2,2202,1,False
30085,Export hsmtool out of the OpenTitan repo into its own repository,open,2026-05-11 10:21:22+00:00,,,,False,0,5,2,140,0,False
30070,"[bazel build] rules_rust version is fairly old, upgrade to get new features",open,2026-05-08 13:03:47+00:00,,,,False,0,0,0,578,0,False
30062,"[otbn,mask,rtl] Temporarily disable MAI to fit the CW310",open,2026-05-07 15:46:05+00:00,,,IP:otbn,False,0,0,1,345,0,False
30045,`manuf_sram_program_crc` test flakey,closed,2026-05-06 12:19:14+00:00,2026-05-06 12:37:28+00:00,0.0,,False,0,2,0,182,0,False
30034,"[csrng,dv] Testbench doesn't instantiate block correctly",closed,2026-05-05 16:16:32+00:00,2026-05-18 16:04:30+00:00,12.0,Component:DV|IP:csrng,True,0,0,0,294,1,False
30032,[aes/dv] aes_alert_reset failures,closed,2026-05-05 15:49:06+00:00,2026-05-08 15:17:27+00:00,2.0,,False,0,5,1,711,1,False
30028,"[CI, FPGA] Move CW310 tests to nightly run only",open,2026-05-05 12:29:41+00:00,,,,False,0,0,0,499,0,False
29969,"[entropy_src, aes, otbn] Missing reset-during-operation test coverage",closed,2026-04-30 09:05:19+00:00,2026-05-19 18:35:59+00:00,19.0,,False,0,1,0,920,0,False
29968,[lc_ctrl] Untested port interaction combinations in state decode and state transition,open,2026-04-30 09:04:50+00:00,,,,False,0,1,0,808,0,False
29967,[lc_ctrl] Uninitialized registers 'dec_lc_state' and 'dec_lc_state_buf' in state decoder,open,2026-04-30 09:04:30+00:00,,,,False,0,1,0,606,0,False
29966,[lc_ctrl] Unused register 'unused_trans_cmd' present in RTL without reset initialization,open,2026-04-30 09:04:06+00:00,,,,False,0,1,0,709,0,False
29965,[aes] Array out-of-bounds: ctr_slice_idx indexes packed vectors without bounds guard,open,2026-04-30 09:02:53+00:00,,,,False,0,1,0,811,0,False
29964,[csrng] Array out-of-bounds: cmd_arb_idx_q indexes packed vectors without bounds guard,open,2026-04-30 09:01:59+00:00,,,,False,0,1,0,811,0,False
29953,[cryptolib] RSA currently lacks a key gen based on provided seed,open,2026-04-29 06:47:32+00:00,,,SW:cryptolib,False,0,2,0,167,0,False
29940,[sw] Document a policy on 64-bit division in SW code,open,2026-04-28 11:50:25+00:00,,,,False,0,0,1,402,0,False
29889,[crypto] Add OTBN Instruction Count check to Ed25519,closed,2026-04-24 10:44:16+00:00,2026-04-29 18:02:29+00:00,5.0,SW:cryptolib,False,0,5,2,199,0,False
29888,[crypto] Consider adding a new function to create Ed25519 private keys,open,2026-04-24 10:33:14+00:00,,,SW:cryptolib,False,0,0,0,359,0,False
29864,"[ci, scripts] `check-pr-changes-allowed.py` does not consider review comments",closed,2026-04-22 16:59:06+00:00,2026-06-23 15:27:29+00:00,61.0,Component:Tooling|Component:CI,False,0,1,0,455,1,False
29829,[cryptolib] Add API function to retrieve HW-backed SW seed from key manager,closed,2026-04-21 10:11:42+00:00,2026-05-08 07:10:04+00:00,16.0,SW:cryptolib,False,0,2,0,489,0,False
29817,[ci] FuseSoc builds not being cached,closed,2026-04-17 16:11:21+00:00,2026-04-21 12:15:47+00:00,3.0,Type:Bug|Component:CI,True,0,0,1,3570,2,True
29796,[ci] Run nightly FPGA jobs for `slow_tests`,open,2026-04-16 09:37:45+00:00,,,,False,0,0,2,424,0,False
29780,Signing Enablement,open,2026-04-14 15:36:13+00:00,,,,False,0,0,0,448,0,False
29779,Make QEMU emulator usable downstream,open,2026-04-14 15:35:10+00:00,,,,False,0,1,0,128,0,False
29778,Improve cryptolib external usability,open,2026-04-14 15:33:59+00:00,,,,False,0,2,1,300,0,False
29777,Register Definitions,open,2026-04-14 15:32:02+00:00,,,,False,0,0,1,294,0,False
29776,Devbundle Release Process,closed,2026-04-14 15:26:56+00:00,2026-05-22 14:35:02+00:00,37.0,,False,0,3,1,945,0,False
29756,[top/fpga] De-duplicate pin and pad info for cw310 and cw340,open,2026-04-12 19:10:45+00:00,,,TOP:earlgrey,False,0,0,0,348,0,False
29747,[ci] ROM_EXT is too large,closed,2026-04-11 07:51:09+00:00,2026-04-14 06:28:59+00:00,2.0,,False,0,4,0,2240,0,False
29681,[spi_host] Loopback in standard mode,closed,2026-04-07 10:09:14+00:00,2026-04-07 10:42:16+00:00,0.0,IP:spi_host,False,0,1,0,1155,0,False
