comment_text,label,label_name
Coverage closure on track. Three blocks remaining.,0,normal
Stuck. Analog team says they need more time. Not reflected in schedule.,1,blocker
Cross-site dependency. India team waiting on US team. No response overnight.,1,blocker
Sign-off meeting completed. All blocks cleared for tape-out.,0,normal
Critical path item with no progress. Escalation needed immediately.,1,blocker
DFT insertion complete for this IP. Moving to sign-off phase.,0,normal
Timing margin positive on all critical paths. No concerns.,0,normal
Regression infrastructure back up. All tests rerun. Results clean.,0,normal
Escalate to program manager. DFT team says they cannot start without frozen RTL.,1,blocker
RTL drop stable. Regression suite green. DV proceeding.,0,normal
IP licensing confirmed. No tape-out blockers from legal.,0,normal
No update for 8 days on a P0 bug. This is unacceptable. Escalate.,1,blocker
Formal verification sign-off received. Moving to next block.,0,normal
Blocked waiting for clock domain crossing analysis sign-off.,1,blocker
Formal exhaustion taking too long. Need to discuss scope reduction urgently.,1,blocker
DFT not started on this block. Tape-out is in 3 weeks. Critical path.,1,blocker
Cannot proceed with coverage closure until IP delivery is confirmed.,1,blocker
Chip-level test passing end to end. Ready for final sign-off.,0,normal
Cross-team dependency resolved. Both teams aligned on interface.,0,normal
Cannot start physical verification without final RTL freeze confirmation.,1,blocker
Integration test stable for three consecutive runs. Ready for sign-off.,0,normal
Coverage at 94 percent. Final push to close remaining gaps this week.,0,normal
Dependency on PD team for floorplan approval is blocking DV start.,1,blocker
No progress. Last comment was 12 days ago. Is anyone watching this?,1,blocker
Blocked. Waiting on sign-off from security team for over 10 days.,1,blocker
LEC clean not achieved after ECO. Blocking sign-off on this block.,1,blocker
Dependency on software stack not resolved. Blocking chip-level tests.,1,blocker
Waiting on emulation team to set up platform. Two week delay so far.,1,blocker
Formal tool configuration updated. Rerunning proofs.,0,normal
Memory controller interface spec frozen. Integration unblocked.,0,normal
No progress since last month. This item needs to be escalated immediately.,1,blocker
Verification sign-off blocked pending architecture decision on interface.,1,blocker
Scan chain insertion complete. DFT team signing off.,0,normal
DRC count not reducing. Physical design team not responding to queries.,1,blocker
This has been open for 4 weeks with no assignee. Who owns this?,1,blocker
Critical coverage gap in reset domain. Owner needed urgently.,1,blocker
Dependency not tracked in program schedule. Just discovered it. Risk.,1,blocker
Two weeks behind on coverage plan. Not enough resources assigned.,1,blocker
Cannot start signoff without completed IR drop analysis. PD overloaded.,1,blocker
Resource confirmed for this task. Starting tomorrow.,0,normal
Regression failures since last RTL drop. Root cause not identified yet.,1,blocker
Cannot merge until review comments addressed. Reviewer not available this week.,1,blocker
Formal tool timeout on this block. Alternative approach needed urgently.,1,blocker
Updated the testplan. Review comments addressed. Ready for re-review.,0,normal
Waiting for software team to provide firmware. Blocking integration test.,1,blocker
Coverage closure plan agreed with DV lead. Three days to target.,0,normal
Testbench updated to cover new corner cases from architecture review.,0,normal
Waiting for PD feedback on floorplan. Two meetings cancelled this week.,1,blocker
RTL review comments addressed. Ready for re-merge.,0,normal
DRC count down from 200 to 45 this week. Good progress.,0,normal
Blocked. Vendor has not responded to support ticket for over one week.,1,blocker
